"SrcFullPath","Width","Height","Area","SizeBytes"
"C:\AI\datasets\NikaIsha_v20\1\Nika_0120.png","1024","1024","1048576","1456817"
"C:\AI\datasets\NikaIsha_v20\1\Nika_0043.png","1024","1024","1048576","1446276"
"C:\AI\datasets\NikaIsha_v20\1\Nika_0174.png","1024","1024","1048576","1434916"
"C:\AI\datasets\NikaIsha_v20\1\Nika_0101.png","1024","1024","1048576","1414042"
"C:\AI\datasets\NikaIsha_v20\1\Nika_0112.png","1024","1024","1048576","1413174"
"C:\AI\datasets\NikaIsha_v20\1\Nika_0168.png","1024","1024","1048576","1404865"
"C:\AI\datasets\NikaIsha_v20\1\Nika_0140.png","1024","1024","1048576","1396120"
"C:\AI\datasets\NikaIsha_v20\1\Nika_0117.png","1024","1024","1048576","1392184"
"C:\AI\datasets\NikaIsha_v20\1\Nika_0176.png","1024","1024","1048576","1391594"
"C:\AI\datasets\NikaIsha_v20\1\Nika_0152.png","1024","1024","1048576","1391112"
"C:\AI\datasets\NikaIsha_v20\1\Nika_0105.png","1024","1024","1048576","1386408"
"C:\AI\datasets\NikaIsha_v20\1\Nika_0033.png","1024","1024","1048576","1374601"
"C:\AI\datasets\NikaIsha_v20\1\Nika_0118.png","1024","1024","1048576","1369707"
"C:\AI\datasets\NikaIsha_v20\1\Nika_0060.png","1024","1024","1048576","1366886"
"C:\AI\datasets\NikaIsha_v20\1\Nika_0148.png","1024","1024","1048576","1362511"
"C:\AI\datasets\NikaIsha_v20\1\Nika_0034.png","1024","1024","1048576","1362248"
"C:\AI\datasets\NikaIsha_v20\1\Nika_0089.png","1024","1024","1048576","1358717"
"C:\AI\datasets\NikaIsha_v20\1\Nika_0009.png","1024","1024","1048576","1354934"
"C:\AI\datasets\NikaIsha_v20\1\Nika_0149.png","1024","1024","1048576","1354214"
"C:\AI\datasets\NikaIsha_v20\1\Nika_0177.png","1024","1024","1048576","1350609"
